admin3Name_en,admin3Name_alias,admin3Pcode,admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
MESSONDO,MESSONDO,CE0808,NYONG ET KELLE,NYONG ET KELLE,CE08,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NGUIBASSAL,NGUIBASSAL,CE0809,NYONG ET KELLE,NYONG ET KELLE,CE08,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NGOG MAPUBI,NGOG MAPUBI,CE0810,NYONG ET KELLE,NYONG ET KELLE,CE08,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
AKOEMAN,AKOEMAN,CE0901,NYONG ET MFOUMOU,NYONG ET MFOUMOU,CE09,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
AKONOLINGA,AKONOLINGA,CE0902,NYONG ET MFOUMOU,NYONG ET MFOUMOU,CE09,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
AYOS,AYOS,CE0903,NYONG ET MFOUMOU,NYONG ET MFOUMOU,CE09,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
ENDOM,ENDOM,CE0904,NYONG ET MFOUMOU,NYONG ET MFOUMOU,CE09,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MENGANG,MENGANG,CE0905,NYONG ET MFOUMOU,NYONG ET MFOUMOU,CE09,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NYAKOKOMBO (KOBDOMBO),NYAKOKOMBO (KOBDOMBO),CE0906,NYONG ET MFOUMOU,NYONG ET MFOUMOU,CE09,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
DZENG,DZENG,CE1001,NYONG ET SO’O,NYONG ET SO’O,CE10,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MBALMAYO,MBALMAYO,CE1002,NYONG ET SO’O,NYONG ET SO’O,CE10,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MBALMAYO,MBALMAYO,CE10002,NYONG ET SO’O,NYONG ET SO’O,CE10,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
MENGUEME,MENGUEME,CE1003,NYONG ET SO’O,NYONG ET SO’O,CE10,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NGOMEDZAP,NGOMEDZAP,CE1004,NYONG ET SO’O,NYONG ET SO’O,CE10,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
NKOLMETET,NKOLMETET,CE1005,NYONG ET SO’O,NYONG ET SO’O,CE10,CENTRE,CENTRE,CE,Cameroon,Cameroon,CMR
GARI GOMBO,GARI GOMBO,ES0101,BOUMBA ET NGOKO,BOUMBA ET NGOKO,ES01,EST,EST,ES,Cameroon,Cameroon,CMR
MOLOUNDOU,MOLOUNDOU,ES0102,BOUMBA ET NGOKO,BOUMBA ET NGOKO,ES01,EST,EST,ES,Cameroon,Cameroon,CMR
SALAPOUMBE,SALAPOUMBE,ES0103,BOUMBA ET NGOKO,BOUMBA ET NGOKO,ES01,EST,EST,ES,Cameroon,Cameroon,CMR
YOKADOUMA,YOKADOUMA,ES0104,BOUMBA ET NGOKO,BOUMBA ET NGOKO,ES01,EST,EST,ES,Cameroon,Cameroon,CMR
ABONG MBANG,ABONG MBANG,ES0201,HAUT-NYONG,HAUT-NYONG,ES02,EST,EST,ES,Cameroon,Cameroon,CMR
